#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Type 1,Type 2
1,Bulbasaur,Grass Poison,318,45,49,49,65,65,45,Grass,Poison
2,Ivysaur,Grass Poison,405,60,62,63,80,80,60,Grass,Poison
3,Venusaur,Grass Poison,525,80,82,83,100,100,80,Grass,Poison
3,Venusaur Mega Venusaur,Grass Poison,625,80,100,123,122,120,80,Grass,Poison
4,Charmander,Fire,309,39,52,43,60,50,65,Fire,
5,Charmeleon,Fire,405,58,64,58,80,65,80,Fire,
6,Charizard,Fire Flying,534,78,84,78,109,85,100,Fire,Flying
6,Charizard Mega Charizard X,Fire Dragon,634,78,130,111,130,85,100,Fire,Dragon
6,Charizard Mega Charizard Y,Fire Flying,634,78,104,78,159,115,100,Fire,Flying
7,Squirtle,Water,314,44,48,65,50,64,43,Water,
8,Wartortle,Water,405,59,63,80,65,80,58,Water,
9,Blastoise,Water,530,79,83,100,85,105,78,Water,
9,Blastoise Mega Blastoise,Water,630,79,103,120,135,115,78,Water,
10,Caterpie,Bug,195,45,30,35,20,20,45,Bug,
11,Metapod,Bug,205,50,20,55,25,25,30,Bug,
12,Butterfree,Bug Flying,395,60,45,50,90,80,70,Bug,Flying
13,Weedle,Bug Poison,195,40,35,30,20,20,50,Bug,Poison
14,Kakuna,Bug Poison,205,45,25,50,25,25,35,Bug,Poison
15,Beedrill,Bug Poison,395,65,90,40,45,80,75,Bug,Poison
15,Beedrill Mega Beedrill,Bug Poison,495,65,150,40,15,80,145,Bug,Poison
16,Pidgey,Normal Flying,251,40,45,40,35,35,56,Normal,Flying
17,Pidgeotto,Normal Flying,349,63,60,55,50,50,71,Normal,Flying
18,Pidgeot,Normal Flying,479,83,80,75,70,70,101,Normal,Flying
18,Pidgeot Mega Pidgeot,Normal Flying,579,83,80,80,135,80,121,Normal,Flying
19,Rattata,Normal,253,30,56,35,25,35,72,Normal,
19,Rattata Alolan Rattata,Dark Normal,253,30,56,35,25,35,72,Dark,Normal
20,Raticate,Normal,413,55,81,60,50,70,97,Normal,
20,Raticate Alolan Raticate,Dark Normal,413,75,71,70,40,80,77,Dark,Normal
21,Spearow,Normal Flying,262,40,60,30,31,31,70,Normal,Flying
22,Fearow,Normal Flying,442,65,90,65,61,61,100,Normal,Flying
23,Ekans,Poison,288,35,60,44,40,54,55,Poison,
24,Arbok,Poison,448,60,95,69,65,79,80,Poison,
25,Pikachu,Electric,320,35,55,40,50,50,90,Electric,
25,Pikachu Partner Pikachu,Electric,430,45,80,50,75,60,120,Electric,
26,Raichu,Electric,485,60,90,55,90,80,110,Electric,
26,Raichu Alolan Raichu,Electric Psychic,485,60,85,50,95,85,110,Electric,Psychic
27,Sandshrew,Ground,300,50,75,85,20,30,40,Ground,
27,Sandshrew Alolan Sandshrew,Ice Steel,300,50,75,90,10,35,40,Ice,Steel
28,Sandslash,Ground,450,75,100,110,45,55,65,Ground,
28,Sandslash Alolan Sandslash,Ice Steel,450,75,100,120,25,65,65,Ice,Steel
29,Nidoran♀,Poison,275,55,47,52,40,40,41,Poison,
30,Nidorina,Poison,365,70,62,67,55,55,56,Poison,
31,Nidoqueen,Poison Ground,505,90,92,87,75,85,76,Poison,Ground
32,Nidoran♂,Poison,273,46,57,40,40,40,50,Poison,
33,Nidorino,Poison,365,61,72,57,55,55,65,Poison,
34,Nidoking,Poison Ground,505,81,102,77,85,75,85,Poison,Ground
35,Clefairy,Fairy,323,70,45,48,60,65,35,Fairy,
36,Clefable,Fairy,483,95,70,73,95,90,60,Fairy,
37,Vulpix,Fire,299,38,41,40,50,65,65,Fire,
37,Vulpix Alolan Vulpix,Ice,299,38,41,40,50,65,65,Ice,
38,Ninetales,Fire,505,73,76,75,81,100,100,Fire,
38,Ninetales Alolan Ninetales,Ice Fairy,505,73,67,75,81,100,109,Ice,Fairy
39,Jigglypuff,Normal Fairy,270,115,45,20,45,25,20,Normal,Fairy
40,Wigglytuff,Normal Fairy,435,140,70,45,85,50,45,Normal,Fairy
41,Zubat,Poison Flying,245,40,45,35,30,40,55,Poison,Flying
42,Golbat,Poison Flying,455,75,80,70,65,75,90,Poison,Flying
43,Oddish,Grass Poison,320,45,50,55,75,65,30,Grass,Poison
44,Gloom,Grass Poison,395,60,65,70,85,75,40,Grass,Poison
45,Vileplume,Grass Poison,490,75,80,85,110,90,50,Grass,Poison
46,Paras,Bug Grass,285,35,70,55,45,55,25,Bug,Grass
47,Parasect,Bug Grass,405,60,95,80,60,80,30,Bug,Grass
48,Venonat,Bug Poison,305,60,55,50,40,55,45,Bug,Poison
49,Venomoth,Bug Poison,450,70,65,60,90,75,90,Bug,Poison
50,Diglett,Ground,265,10,55,25,35,45,95,Ground,
50,Diglett Alolan Diglett,Ground Steel,265,10,55,30,35,45,90,Ground,Steel
51,Dugtrio,Ground,425,35,100,50,50,70,120,Ground,
51,Dugtrio Alolan Dugtrio,Ground Steel,425,35,100,60,50,70,110,Ground,Steel
52,Meowth,Normal,290,40,45,35,40,40,90,Normal,
52,Meowth Alolan Meowth,Dark,290,40,35,35,50,40,90,Dark,
52,Meowth Galarian Meowth,Steel,290,50,65,55,40,40,40,Steel,
53,Persian,Normal,440,65,70,60,65,65,115,Normal,
53,Persian Alolan Persian,Dark,440,65,60,60,75,65,115,Dark,
54,Psyduck,Water,320,50,52,48,65,50,55,Water,
55,Golduck,Water,500,80,82,78,95,80,85,Water,
56,Mankey,Fighting,305,40,80,35,35,45,70,Fighting,
57,Primeape,Fighting,455,65,105,60,60,70,95,Fighting,
58,Growlithe,Fire,350,55,70,45,70,50,60,Fire,
58,Growlithe Hisuian Growlithe,Fire Rock,350,60,75,45,65,50,55,Fire,Rock
59,Arcanine,Fire,555,90,110,80,100,80,95,Fire,
59,Arcanine Hisuian Arcanine,Fire Rock,555,95,115,80,95,80,90,Fire,Rock
60,Poliwag,Water,300,40,50,40,40,40,90,Water,
61,Poliwhirl,Water,385,65,65,65,50,50,90,Water,
62,Poliwrath,Water Fighting,510,90,95,95,70,90,70,Water,Fighting
63,Abra,Psychic,310,25,20,15,105,55,90,Psychic,
64,Kadabra,Psychic,400,40,35,30,120,70,105,Psychic,
65,Alakazam,Psychic,500,55,50,45,135,95,120,Psychic,
65,Alakazam Mega Alakazam,Psychic,600,55,50,65,175,105,150,Psychic,
66,Machop,Fighting,305,70,80,50,35,35,35,Fighting,
67,Machoke,Fighting,405,80,100,70,50,60,45,Fighting,
68,Machamp,Fighting,505,90,130,80,65,85,55,Fighting,
69,Bellsprout,Grass Poison,300,50,75,35,70,30,40,Grass,Poison
70,Weepinbell,Grass Poison,390,65,90,50,85,45,55,Grass,Poison
71,Victreebel,Grass Poison,490,80,105,65,100,70,70,Grass,Poison
72,Tentacool,Water Poison,335,40,40,35,50,100,70,Water,Poison
73,Tentacruel,Water Poison,515,80,70,65,80,120,100,Water,Poison
74,Geodude,Rock Ground,300,40,80,100,30,30,20,Rock,Ground
74,Geodude Alolan Geodude,Rock Electric,300,40,80,100,30,30,20,Rock,Electric
75,Graveler,Rock Ground,390,55,95,115,45,45,35,Rock,Ground
75,Graveler Alolan Graveler,Rock Electric,390,55,95,115,45,45,35,Rock,Electric
76,Golem,Rock Ground,495,80,120,130,55,65,45,Rock,Ground
76,Golem Alolan Golem,Rock Electric,495,80,120,130,55,65,45,Rock,Electric
77,Ponyta,Fire,410,50,85,55,65,65,90,Fire,
77,Ponyta Galarian Ponyta,Psychic,410,50,85,55,65,65,90,Psychic,
78,Rapidash,Fire,500,65,100,70,80,80,105,Fire,
78,Rapidash Galarian Rapidash,Psychic Fairy,500,65,100,70,80,80,105,Psychic,Fairy
79,Slowpoke,Water Psychic,315,90,65,65,40,40,15,Water,Psychic
79,Slowpoke Galarian Slowpoke,Psychic,315,90,65,65,40,40,15,Psychic,
80,Slowbro,Water Psychic,490,95,75,110,100,80,30,Water,Psychic
80,Slowbro Mega Slowbro,Water Psychic,590,95,75,180,130,80,30,Water,Psychic
80,Slowbro Galarian Slowbro,Poison Psychic,490,95,100,95,100,70,30,Poison,Psychic
81,Magnemite,Electric Steel,325,25,35,70,95,55,45,Electric,Steel
82,Magneton,Electric Steel,465,50,60,95,120,70,70,Electric,Steel
83,Farfetch'd,Normal Flying,377,52,90,55,58,62,60,Normal,Flying
83,Farfetch'd Galarian Farfetch'd,Fighting,377,52,95,55,58,62,55,Fighting,
84,Doduo,Normal Flying,310,35,85,45,35,35,75,Normal,Flying
85,Dodrio,Normal Flying,470,60,110,70,60,60,110,Normal,Flying
86,Seel,Water,325,65,45,55,45,70,45,Water,
87,Dewgong,Water Ice,475,90,70,80,70,95,70,Water,Ice
88,Grimer,Poison,325,80,80,50,40,50,25,Poison,
88,Grimer Alolan Grimer,Poison Dark,325,80,80,50,40,50,25,Poison,Dark
89,Muk,Poison,500,105,105,75,65,100,50,Poison,
89,Muk Alolan Muk,Poison Dark,500,105,105,75,65,100,50,Poison,Dark
90,Shellder,Water,305,30,65,100,45,25,40,Water,
91,Cloyster,Water Ice,525,50,95,180,85,45,70,Water,Ice
